,title,location,minimum_qual,preferred_qual,responsibilities,min_degree_req,pref_degree_req,min_work_exp_req,pref_work_exp_req,min_langs_req,pref_langs_req
10,Software Engineering Manager,"Redmond, WA","BS degree in Computer Science or related field
5+ years of experience managing software engineers
5+ years of C++ experience
5+ years of experience creating software for real-time environments such as games or robotics
Experience designing software systems and services
Proven track record of software development, including shipping one or more products on large code bases that span a range of platforms and tools
Communication experience and experience working across disciplines to drive solution","Experience in input devices such as keyboards, mice, and game controllers
Experience with tracking devices, such as Kinect, OptiTrack sensors, IMUs, and depth sensors
Experience in 3D graphics, including technologies such as DirectX, Vulkan, or OpenGL
Experience in game engines such as Unreal and Unity
Experience in high performance libraries such as Eigen and Boost
Knowledge in Physics
Knowledge in Sensor fusion
Knowledge in Computer vision
Experience in machine learning frameworks such as PyTorch, Caffe2 or TensorFlow
Knowledge in MATLAB
Knowledge in Digital signal processing
Knowledge in Robotics
Knowledge in Advanced mathematics","Manage a team of system software engineers working on advanced AR/VR research
Analyze, design, develop, and debug real-time VR and AR software for advanced interaction prototypes
Provide technical leadership for innovative, reliable, scalable, and maintainable software solutions
Provide team guidance, regular feedback, education, coaching, and mentoring
Perform architectural, design, and code reviews that improve software engineering quality
Create career development plans, manage performance, and conduct performance reviews
Identify, recruit, interview, and hire new software engineers, while helping the team scale effectively
Collaborate in a team environment across multiple scientific and engineering disciplines, making the architectural tradeoffs required to rapidly deliver software solutions",BS,None,5,0,C++,None
11,Operating Systems Software Engineer,"Redmond, WA","5+ years experience working on systems software in a large-scale C code base.
Demonstrated knowledge of operating systems internals on at least one platform.
Demonstrated knowledge creating device drivers on at least one platform.
Experience developing, debugging, and shipping software products on large code bases that span platforms and tools.
Experience with Software Development processes including: source control, bug tracking, and design documentation.
Demonstrated experience working collaboratively in cross-functional teams.","Experience with power management and modern systems architecture.
Experience with specialized kernel functions: synchronization primitives, memory management, schedulers and dispatchers, TLB management.
Experience working on multiple classes of drivers e.g., bus, block, wireless, display drivers.
Experience with low-latency, high bandwidth, streaming hardware devices, e.g. video cameras, graphics cards, etc.
Experience with new device bring-up.
Experience with ARM platforms.
Experience creating, debugging, and deploying on-device firmware (MCU and/or DSP).","Design and implement OS components at all layers of the system, e.g. kernel, synchronization primitives, resource allocators, memory management, security, I/O systems, persistence, etc.
Design and implement device and bus drivers that operate efficiently in a constrained environment yet when pressed can efficiently deliver large volumes of data with low-latency and high-bandwidth.
Debug complex, system-level, multi-component issues that typically span across multiple layers from kernel to application.
Profile performance problems and drive optimizations that span the entire software stack.
Bring up new devices and lead debugging and performance tuning exercises that span multiple hardware/firmware/software teams.
Understand software components from multiple partner teams, lead the integration of those components into the unified product code base, and drive their continued development.",None,None,5,0,None,None
12,Operating Systems Software Engineer,"Menlo Park, CA","5+ years experience working on systems software in a large-scale C code base.
Demonstrated knowledge of operating systems internals on at least one platform.
Demonstrated knowledge creating device drivers on at least one platform.
Experience developing, debugging, and shipping software products on large code bases that span platforms and tools.
Experience with Software Development processes including: source control, bug tracking, and design documentation.
Demonstrated experience working collaboratively in cross-functional teams.","Experience with power management and modern systems architecture.
Experience with specialized kernel functions: synchronization primitives, memory management, schedulers and dispatchers, TLB management.
Experience working on multiple classes of drivers e.g., bus, block, wireless, display drivers.
Experience with low-latency, high bandwidth, streaming hardware devices, e.g. video cameras, graphics cards, etc.
Experience with new device bring-up.
Experience with ARM platforms.
Experience creating, debugging, and deploying on-device firmware (MCU and/or DSP).","Design and implement OS components at all layers of the system, e.g. kernel, synchronization primitives, resource allocators, memory management, security, I/O systems, persistence, etc.
Design and implement device and bus drivers that operate efficiently in a constrained environment yet when pressed can efficiently deliver large volumes of data with low-latency and high-bandwidth.
Debug complex, system-level, multi-component issues that typically span across multiple layers from kernel to application.
Profile performance problems and drive optimizations that span the entire software stack.
Bring up new devices and lead debugging and performance tuning exercises that span multiple hardware/firmware/software teams.
Understand software components from multiple partner teams, lead the integration of those components into the unified product code base, and drive their continued development.",None,None,5,0,None,None
13,"Software Engineer, Embedded Systems","Menlo Park, CA","BS in Computer Science or Computer Engineering
Knowledge with hardware architecture, bring up and debug
Experience with Linux kernel or RTOS driver models and frameworks around media, networking, or storage
C/C++ coding experience
Knowledge with embedded environments, JTAG, trace, schematics and board-level debug","Familiarity with design and implementation of hardware-software interfaces
Familiarity with hardware bring up, and debug of i2c, SPI, PCI-e, Ethernet and other peripherals
Familiarity with design and implementation of kernel/user space interfaces and frameworks
Experience with offload engines in video, crypto, networking or machine learning
Familiarity with modern video formats, codecs, ML algorithms and related frameworks","Create and maintain system software components including device drivers, firmware and tools to manage the hardware
Work with security teams on implementing best practices for platform components
Work with emulators and prototype/FPGA hardware on software development and hardware validation
Work with HW and application teams to bring up hardware, test functionality, debug and performance tuning
Work with production teams on qualification and validation suites and trouble shooting",BS,None,0,0,C++,None
14,"Software Engineer, Database Engineering","Menlo Park, CA","5+ years software engineering experience or coding experience in C, C++, or Java
2+ years experience building database software
B.S. Computer Science or related technical field","Experience working directly with database systems at scale
M.S. or PhD in Computer Science or related technical field","Design core software components for database systems
Code using primarily in C++
Interface with other teams to collaborate in transforming the landscape
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of various system resources",None,PhD,5,0,"C++,Java",None
15,"Software Engineer, Portal Infrastructure","Menlo Park, CA","BS degree in Computer Science, Computer Engineering or equivalent experience
5+ years of software development experience in one or more general-purpose programming languages
Experience in at least one of the following: test automation, refactoring code, test-driven development, build infrastructure, optimizing software, debugging, building tools, testing frameworks","Master's or PhD in Computer Science or a related technical field
Experience with one or more programming languages: Java, Python, JavaScript, PHP/Hack
Scripting skills in Python, Perl, Shell or another common language
Experience with relational databases and SQL
Experience working with Consumer Electronic devices
Experience with Android Open Source Project (AOSP) product development","Lead/contribute to engineering efforts from design to implementation, solving complex technical challenges around developer and engineering productivity and velocity
Design and build advanced automated build, test, release and operations infrastructure
Drive adoption of best practices in code health, testing, and maintainability
Analyze and decompose complex software systems and collaborate with cross-functional teams to influence design for testability
Develop and support processes to maintain uptime, SLAs and availability of critical platform components",BS,PhD,5,0,None,"Java,Python,PHP,SQL"
16,Software Engineer - Graphics,"Redmond, WA","BS degree in Computer Science or related field
5+ years C++ experience
5+ years experience creating software for games or real-time systems
Working knowledge of 3D math and linear algebra
Knowledge of GPU architecture, SIMD instruction sets, caches, code generation, and profiling
Experience with one or more low-level graphics frameworks, such as Direct3D, OpenGL, Mantle, Metal, or Vulkan
Proven track record of software development, including shipping one or more products of using standard software development toolsets such as source control and continuous integration systems
Experience communicating and working across disciplines to drive solutions","Experience in real-time ray tracing
Advanced mathematics experience
Experience in computer vision and machine learning
Experience in compression and streaming
Experience in game engines such as Unreal
Experience in embedded and low-power environments (mobile SoCs, DSPs, etc.)
Experience in hardware simulation and bringup","Develop and optimize novel rendering algorithms and software to efficiently drive advanced prototypes
Prioritize ruthlessly and get things done with a high level of efficiency
Collaborate in a team environment across multiple scientific and engineering disciplines, making the architectural tradeoffs required to rapidly deliver software solutions
Learn constantly, educate others, dive into new areas with unfamiliar technologies, and embrace the ambiguity of AR/VR problem solving",BS,None,5,0,C++,None
17,AR Software Engineer,"Menlo Park, CA","1+ years of experience with AR software development.
Knowledge developing and debugging in C#, C/C++, or Java.
Knowledge of at least one AR library, such as Unity, ARCore, ARKit, or Spark AR.","Experience with Unity.
2+ years of work experience with Android and Java development.","Develop optimized software to run on our Portal products as well as other Facebook AR surfaces such as Messenger and Instagram.
Work with product managers to define use cases, and develop methodology and benchmarks to evaluate different approaches.
Develop and integrate new AI technologies that enable world class AR experiences.
Collaborate closely with design to implement innovative new user experiences in 2D and 3D.",None,None,1,2,"C++,Java,C#",Java
18,"Manager, Software Test Engineering","Menlo Park, CA","Bachelor’s degree in a relevant field: BSEE or BS Computer Engineering
10+ years of people management experience, managing direct reports, building a team through continual coaching and career growth opportunities
Experience in test automation and test frameworks to enable comprehensive test coverage
Experience to code and debug in C/C++ and Python
Understanding of fundamental considerations of building hardware in development and volume production stages
Familiarity developing solutions in both Linux and Windows environments
Experience designing and executing development projects with a design of experiment approach (DOE) to service, troubleshoot, and solve engineering problems
Experience developing software that interfaces and controls hardware devices over usb/serial/network/pcie etc.
Experience with domestic and/or international consumer electronics vendors and supply chain
Proven experience introducing and qualifying manufacturing test solutions to production facilities","Knowledge of statistics and plotting, graphing, knowledge in statistical methods (6s, SPC, Cpk)
Knowledge of cryptography concepts, asymmetric cryptography, signing
Demonstrated experience defining, developing, and troubleshooting manufacturing test issues","Collaboration with third party test integrators in designing, developing and fabricating test systems
Oversee Software rollout and validation of Software releases at manufacturing partners
Responsible for teams’ productivity and have ability to seeking out areas of improvement in tools, software frameworks, and processes that you can implement to make the team more productive",BS,None,10,0,"C++,Python",None
19,Capture Systems Software Engineer,"Pittsburgh, PA","Bachelor of Science (or equivalent) in Computer Science or a related field
5+ years of C++ experience, including Modern C++ features and techniques
2+ years of experience with low-level software development, such as drivers or firmware
Proven track record of shipping software
Experience with software development practices such as source control, code reviews, unit testing, debugging and profiling
Experience with Linux and command line utilities
Experience developing GUI applications
Collaborator with communication experience across teams of varying knowledge of components","Experience with cameras and optical systems, lighting systems, and audio systems
Experience with Qt library
Experience with 0MQ
Experience with Python
Experience with Networking
Experience developing and managing large scale-distributed systems","Develop high-performance software to collect data from sensors in our capture system.
Develop methods to verify sensors are behaving properly and returning high quality data.
Support and evaluate device hardware, software, and firmware updates.
Develop robust processes for testing capture system changes prior to pushing to live servers.
Collaborate with vendors to troubleshoot hardware issues.
Collaborate with our user studies team to understand common failure cases, ascertain root causes, and improve the data capture experience.",Bachelor,None,5,0,C++,Python
20,Software Engineer - Perceptual Science,"Redmond, WA","BS or advanced degree in Computer Science, Computer Vision, Math, Physics or related field
5+ years C/C++ experience, including C++11 (and up) features and principles
5+ years experience creating, extending, integrating and maintaining real-time 3D engine systems such as graphics rendering, audio, physics, networking or animation pipelines
2+ years of experience with applied linear algebra and 3D geometry
Knowledge of the fundamentals of computer architecture, including CPU data caching, SIMD instruction sets, and compiler code generation
Experience shipping one or more products using standard software development toolsets such as source control and continuous integration systems","Experience in 3D graphics libraries such as DirectX, OpenGL, or Vulkan
Machine learning or deep learning experience, including experience with ML libraries such as PyTorch, TensorFlow or cuDNN experience
Experience in game engines such as Unreal or Unity
Optical science experience
Perceptual or cognitive science experience
AR/VR application development experience
FPGA development experience
MATLAB experience","Analyze, evaluate, design, develop, integrate, debug and test real-time AR and VR software for advanced display prototypes and user experiences
Collaborate in a team environment across multiple scientific and engineering disciplines, making the architectural tradeoffs required to rapidly deliver software solutions
Develop software for a variety of experimental and consumer devices, including novel sensing systems, tracking and imaging systems
Write clean readable code, debug complex problems that span systems, prioritize ruthlessly and get things done with a high level of efficiency
Learn constantly, educate others, dive into new areas with unfamiliar technologies, and embrace the ambiguity of AR/VR problem solving",BS,None,5,0,C++,None
21,"Software Engineer, Hardware Systems","Austin, TX","Bachelor’s degree in Computer Science, Computer Engineering or equivalent combination of education.
Experience coding in C and/or C++ for embedded system development.
Experience using hardware schematics for code development and/or debug.
Communication, troubleshooting, and analytical experience.","Familiar with Linux kernel, IPC, and device driver model.
Working experience with scripting languages like Python/Perl.
Familiar with various hardware elements of latest data center environment.
Familiar with micro-controller software stack.","Own, design, develop, test, and maintain software stack for leading edge hardware devices and systems to enable Facebook Infrastructure's fast growth.
Design and develop the code base of software framework for scalability and extensibility, which will enable faster development.
Actively collaborate with industry partners to build and evolve open source ecosystem to support long term growth of our software stack.
Take full ownership of driving our vendor partners on active engineering engagement to ensure high quality of software releases.
Build strong partnership with cross-function infrastructure teams and ensure smooth deployment and operation in our data center environment.",Bachelor,None,0,0,C++,Python
22,"Software Engineer, Facebook Connectivity","Northridge, CA","Knowledge of C, C++, Python, HTML, *nix.
B.S. or M.S. in Computer Science, Electrical Engineering or a related discipline.
Experience with software design and implementation for embedded systems.
Knowledge of real-time operating systems (RTOS), interfaces for data acquisition and control, and device drivers.
Experience with hardware-in-the-loop testing and validation including the use of network test equipment as well as lab test equipment such as spectrum analyzers, oscilloscopes, and frequency synthesizers.
Knowledge or experience in the following: ARM architecture, small to medium scale software development, test suite development, distributed code repositories, and embedded Linux.",,"Design software for RF and optical communication terminals including: physical and link layer algorithms and processing, analog and digital interfaces, and monitor and control consoles.
Interface with hardware, electrical, mechanical, RF, optical, and software engineers to understand system architecture.
Perform component and system level testing in both laboratory and operational environments.
Collaborate with Network Engineering team to automate processes, and build software infrastructure for embedded development and analysis.",None,None,0,0,"C++,Python",None
23,Embedded Software Engineer,"Redmond, WA","B.S. degree in Computer Science or Electrical Engineering and 2+ years of experience in firmware development
Experience in software design and programming in C/C++ for development, debugging, testing and performance analysis
Experience in understanding hardware, clock-level issues, bridges, delays, interrupts, clock gating, polling etc.","5+ years of experience in embedded firmware design for low-power mobile SoC
Experience with lab instrumentation like oscilloscope, logic/protocol analyzers for debugging embedded systems at HW level
Familiarity with embedded micro-controllers' architecture
Hands-on coding experience with peripherals such as UART, SPI, CSI-2, i2c, GPIO, USB
Experience in real-time processing for computer vision and user interaction tasks, high-compute/throughput systems and using simulation and modeling technique to estimate performance and power
Hands-on experience with FPGA and hardware evaluation boards, EDA design tools, and/or ISA simulators","Embedded firmware architecture and design to orchestrate hardware accelerators
End-to-system firmware development to include power-management, boot loaders, scheduling, RTOS and/or bare-metal implementations
Develop OS custom kernel drivers and APIs for hardware accelerators and peripherals
Support all phases of SoC development – including early architecture requirements definition for custom silicon, firmware architecture, implementation, simulation, FPGA debug, chip bringup and support systems and software teams on algorithm development on validated systems",None,None,2,5,C++,None
24,"Software Engineer Intern, Systems and Infrastructure (PhD)","Bellevue, WA","Currently is in the process of obtaining PhD in Computer Science, related STEM or quantitative field, or relevant experience
Research and/or work experience in Algorithms, Architecture, Programming Languages, Compilers, Database, Data Mining, Distributed Systems, Security, Cryptography, Networking, and/or Systems
Experience in systems software or algorithms
Expertise in C++, Java, Perl, PHP or Python
High levels of creativity and quick problem solving capabilities
Proven track record of achieving significant results
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment","Intent to return to degree-program after the completion of the internship/co-op
Demonstrated software engineer experience via an internship, work experience, coding competitions, or PhD papers","Build highly-scalable software systems using primarily C++ and Java.
Design flexible APIs for Facebook product teams developing applications for web and mobile.
Build detailed monitoring to track the health of these systems and quickly triage issues.
Analyze the shortcomings of existing systems.
Design and build next generation systems to constantly be at the cutting edge.",PhD,PhD,0,0,"C++,Java,Python,PHP",None
25,Software Engineer - Annotations,"Pittsburgh, PA","Bachelor of Science (or equivalent) in Computer Science or a related field
5+ years of software development experience
3+ years of web development experience (ReactJS/Angular/Vue.js, PHP or similar)
Experience with SQL databases
Experience with scripting languages
Proven track record of shipping software
Experience with software development practices such as source control, code reviews, unit testing, debugging
Experience with Linux and command line utilities
Collaborator with communication experience across teams of varying knowledge of components","Experience with ReactJS
Experience with PHP or Hack
Experience with Python
Experience with data visualization libraries (D3 or similar)
Experience with machine learning (PyTorch, TensorFlow or similar)
Experience with RPC frameworks (Thrift or similar)
Experience with 3D graphics development (WebGL)
Experience with C++
Experience with Go
Experience developing and managing large-scale distributed systems","Develop web client and front end software used by annotators to label images.
Automate training of machine learning models on many different types of data.
Collaborate with researchers to determine what data to collect and annotate.
Support researchers in training new models and automating workflows.
Collaborate with annotators to understand usability issues and develop solutions.
Collect usage metrics and develop features to decrease annotation time and improve quality.
Develop tests and processes to ensure software stability and correctness.",Bachelor,None,5,0,"PHP,SQL","C++,Python,Go,PHP"
26,"Software Engineer, Spark AR","Menlo Park, CA","BS degree in Computer Science or related field or 5+ years industry experience as the degree equivalent.
3+ years experience in PHP (or HACK), Python.
Proven track record of software development, including shipping one or more products using software development toolsets such as source control and continuous integration systems.
Experience communicating and working across disciplines to drive solutions.","2+ years experience in Bash, Java, and/or C/C++.
Experience with creating developer tooling, testing automation frameworks.
Experience with building software products or infra from ideation to shipping.
Mobile development experience across software products, infra, and performance.
Experience with computer graphics (OpenGL, Metal etc.).","Design APIs and systems that integrate with the existing infrastructure systems.
Design and implement new features or systems to accelerate innovative AR experiences.
Architect developer tooling systems, and/or testing infra systems.
Identify and resolve performance and scalability issues.",BS,None,5,2,"Python,PHP","C++,Java"
27,"Software Engineer, Shell (Oculus)","Seattle, WA","B.S. in Comp Sci/Comp Engineering or equivalent experience.
4+ years industry experience developing systems level software in C/C++, Java, C# or similar systems level software languages.
Experience communicating and working with other teams of engineers, product designers and product managers on projects.
Experience in systems level design thinking with focuses on performance and/or security.",,"Design and develop the system level cooperative multi-tasking software for mobile VR applications on Gear VR.
Design and develop composition systems that enable best in class visuals on mobile hardware and that work across a multitude of input paradigms including orientation and positional tracking.
Set and achieve key performance metrics for CPU, GPU and battery life of all system level software and first party experiences.
Design and develop telemetry for verifying that key performance metrics are being achieved on end user devices.
Work with first party experiences, including Oculus Browser and Oculus Home, to enable features which allow those teams to build improved VR experiences.",None,None,4,0,"C++,Java,C#",None
