title,loc,minimum_qual,preferred_qual,resp,url
"Software Engineer, Stadia","Mountain View, CA, USA","Bachelor's degree in Computer Science, similar technical field, or equivalent practical experience.
Software development experience in one or more general purpose programming languages.
Experience developing gaming software and/or in the gaming industry
Experience with any of the following: web/mobile application development, Unix/Linux environments, distributed/parallel systems, machine learning, natural language processing.","Master’s degree, PhD, or experience in Engineering, Computer Science, or related technical field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Experience with or interest and ability to learn other coding languages.
Experience developing accessible technologies.
Experience with more than two of the following: web/mobile application development, Unix/Linux environments, distributed/parallel systems, machine learning, natural language processing, networking, developing large software systems, information retrieval, security software development.","Design, develop, test, deploy, maintain, and improve software.
Manage individual project priorities, deadlines, and deliverables.",https://careers.google.com/jobs/results/73068879976243910-software-engineer-stadia/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
"Software Engineer, YouTube","San Bruno, CA, USA","Bachelor's degree or equivalent practical experience.
Software development experience in a general purpose programming language.
Experience with two: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, big data, machine learning, information retrieval, natural language processing, networking, developing software systems.
Ability to speak and write in English fluently and idiomatically.","Master’s, PhD degree, further education or experience in engineering, computer science or other technical related field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, or JavaScript.
Interest and ability to learn other coding languages as needed.","Design, implement and launch highly-visible, user-facing features.
Develop new ways for YouTube users to find interesting content.
Design and develop large scale web applications.",https://careers.google.com/jobs/results/122463340342452934-software-engineer-youtube/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
"Customer Engineer, Data Management, Google Cloud Platform","Zürich, Switzerland","Bachelor's degree in Computer Science, related technical field, or equivalent practical experience.
Experience serving in the capacity of a technical sales engineer in a cloud computing environment or experience in a customer facing role.
Experience with database technologies.
Experience with data migration strategies and moving production systems.","Master's degree in Computer Science or other technical field.
Experience with optimizing database performance with respect to transactional and/or analytic workloads.
Technical sales experience or professional consulting experience in the fields of systems integration, large scale data transfer/management, and enterprise database performance.
Experience in disaster recovery (DR) and data backup strategies.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the Cloud/IT technology space and strong
Ability to travel as required.","Work with teams to identify and qualify business opportunities, understand key customer technical objections and develop the strategy to resolve technical blockers.
Share in-depth storage and database expertise to support the technical relationship with Google’s customers.
Work with customers to demonstrate and prototype Google Cloud product integrations in customer/partner environments.
Recommend integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution using best practices on Google Cloud.",https://careers.google.com/jobs/results/117421392334332614-customer-engineer-data-management-google-cloud-platform/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
Software Engineer,"Warsaw, Poland","BS degree in Computer Science or equivalent practical experience.
Experience with software development in general purpose programming languages.
Experience working with: web application development, Unix/Linux, mobile application development, distributed and parallel systems, machine learning, natural language processing, networking, developing large software systems or security software development.
Ability to speak/write in English fluently.","Master’s or PhD degree or equivalent practical experience in engineering, computer science or technical related field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Ability to learn other coding languages as needed.
Excellent written/verbal communication skills.","Utilize your expertise to engage in and enhance the whole lifecycle of services - to design, develop, test, deploy, maintain, and improve software.
Manage individual project priorities, deadlines and deliverables.
Collaborate on scalability issues involving massive amounts of data and information.
Research, conceive, and develop web applications to extend and improve on Google's product offering. Launch, iterate, and make a difference. Help to make Google products better for our users.",https://careers.google.com/jobs/results/124530422202671814-software-engineer/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=2&q=software&sort_by=relevance
"Software Engineer, Machine Learning","New York, NY, USA","BA/BS degree in Computer Science, related technical field or equivalent practical experience.
2 years of work or educational experience in Machine Learning or Artificial Intelligence.
1 year of relevant work experience in software development.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++ or Python","Experience with one or more of the following: Natural Language Processing, text understanding, classification, pattern recognition, recommendation systems, targeting systems, ranking systems or similar.","Participate in cutting edge research in artificial intelligence and machine learning applications.
Develop solutions for real world, large-scale problems.",https://careers.google.com/jobs/results/133502437085323974-software-engineer-machine-learning/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=2&q=software&sort_by=relevance
"Software Engineer, Imaging","Mountain View, CA, USA","Bachelor's degree in Computer Science, related technical field or equivalent practical experience.
Experience with one or more programming languages such as Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Experience in computer vision/machine learning, image processing, or computer graphics.
Experience in computational photography or ISP (3A and image enhancement algorithms) development.","MS degree in Computer Science, Electrical Engineering, Computer Engineering or PhD in Computer Science or related technical field.
Experience with camera automatic control algorithm development implementation (i.e. auto white balance, auto focus, auto exposure, auto flicker detection/correction, auto scene detection).
Experience in GPU, Halide, or other functional languages.
Interest in consumer cameras and photography.","Design, develop, implement and optimize algorithms for Google products.
Develop new algorithms to improve the image/video quality (SNR, color reproduction, stabilization, facial enhancements) or enable new photography features.
Develop auto white balance, auto exposure, auto focus, auto flicker detection/correction, auto scene detection algorithms for Google products.
Work cross-functionally with hardware teams to support algorithm implementation and optimization.
Integrate imaging simulation controls, image analysis and data visualization.",https://careers.google.com/jobs/results/136897728991896262-software-engineer-imaging/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=2&q=software&sort_by=relevance
"Software Engineer, Android Applications","San Francisco, CA, USA","Bachelor's degree in Computer Science or related technical field, or equivalent practical experience.
1 year of professional software development experience.
Experience with mobile application development or Android framework development.
Programming experience in Java.","Experience building Android applications.
Experience in API design, performance optimization, client architecture or tools in the mobile space.
Mobile application development experience.
Experience with Kotlin.
Knowledge of the Android SDK performance tools and optimization techniques.
Passion for shipping consumer facing, high quality, mobile products.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.",https://careers.google.com/jobs/results/114476487878288070-software-engineer-android-applications/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=2&q=software&sort_by=relevance
"Software Engineer, Networking","Mountain View, CA, USA","BA/BS degree in Computer Science or a related technical field or equivalent practical experience.
Experience with networking software (e.g., OSI Model, TCP/IP, IPTables, NAT, Deep Packet Inspection, IPV4, IPV6, routing protocols, etc.).
Coding experience in C/C++, Java, Python or Go.
Experience developing large scale distributed systems.","MS or PhD in Computer Science.
Experience with Unix/Linux environments.
Familiarity with Network Virtualization or Software Defined Networking (SDN).
Experience with load balancing and Edge Computing concepts such as Content Delivery Networks (CDN).
Understanding of 2 or more of the following Networking and Communications protocols: RCS, WebRTC, LTE, Wireless/WLAN, Evolved Packet Core (EPC), Fast Packet Processing, Traffic Analysis/Management, Caching, ForCES, OpenFlow, etc.","Build our networking platforms, systems and infrastructure using your strong background in networked and distributed systems.
Design, develop, test, deploy, maintain, and enhance networking software solutions.
Manage individual projects priorities, deadlines and deliverables.",https://careers.google.com/jobs/results/74014459976131270-software-engineer-networking/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=2&q=software&sort_by=relevance
"Software Engineer, Android Applications","Kirkland, WA, USA","Bachelor's degree in Computer Science or related technical field, or equivalent practical experience.
1 year of professional software development experience.
Experience with mobile application development or Android framework development.
Programming experience in Java.","4 years relevant work experience in software development.
1 year of Android application development experience.
Experience with one or more general purpose programming languages including but not limited to: C/C++, C#, Python, JavaScript, Go, Objective-C, Swift.
Knowledge of the Android SDK performance tools and optimization techniques.
Interest and ability to learn other programming languages as needed.
Working proficiency and communication skills in verbal and written English. Rubric set (not pu","Design and implement new user-facing features in Google’s products.
Build the libraries and frameworks that support large, complex web applications like Gmail, Google Search and Google Maps.
Write scalable, performant server-side code. Build on top of our infrastructure to create the services that support an amazing mobile experience.",https://careers.google.com/jobs/results/80488384440476358-software-engineer-android-applications/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=2&q=software&sort_by=relevance
"Software Engineer, Deep Static Analysis, Google Cloud Platform","Sunnyvale, CA, USA","PhD in Computer Science or a related technical field or equivalent practice experience.
Professional coding experience in C/C++, Java, Python or Go, combined with 1 year of relevant work experience in software development.
Experience with Static Code Analysis and program analysis.
Experience with data structures and algorithms used in static analysis.","Experience architecting and developing large scale distributed systems, concurrency, multithreading and synchronization.
Experience with programming languages, formal methods, abstract interpretation and/or compilers.
Proven experience of finding bugs and vulnerabilities with automated tools.
Proficiency with C++.
Demonstrated ability to develop program analysis tools.
Effective written and verbal communication.","Conceive, research, implement, evaluate, productionize new analyses, and detect security vulnerabilities and other errors in code.
Integrate the developed analyses into the development workflow.
Maintain, debug, optimize, and refactor code.
Architect new systems, frameworks, write tests, and documentation.
Support the developers-facing teams who run our tools in production.",https://careers.google.com/jobs/results/138546996433560262-software-engineer-deep-static-analysis-google-cloud-platform/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=2&q=software&sort_by=relevance
"Software Engineer, Embedded Systems","Sunnyvale, CA, USA","BA/BS degree in Computer Science, Computer Engineering or relevant technical field or equivalent practical experience
1 year of relevant work experience.
Development experience within embedded systems/firmware design.
Experience coding in C/C++","MS or PhD degree in Computer Science, Computer Engineering, Electrical Engineering or related field
Knowledge of Unix/Linux environments and kernel development.
Knowledge of one or more of the following: Microcontrollers, SoC, device drivers, hardware bringup, power management, ARM processors, performance optimization, file systems, bootloading, firmware, x86 assembly, system BIOS or hardware/software integration.
Experience with Audio & Video Processing or DSP, including but not limited to AV synchronization, Open GL/CL, codecs, AV/Media, or speech/audio recognition and synthesis.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.",https://careers.google.com/jobs/results/135281859215925958-software-engineer-embedded-systems/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=2&q=software&sort_by=relevance
"Software Engineer, Machine Learning","Tokyo, Japan","BA/BS degree in Computer Science or related technical field or equivalent practical experience.
2 years of work or educational experience in Machine Learning, Natural Language Processing, and/or Computer Vision.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++ or Python.","MS or PhD degree in Computer Science, Artificial Intelligence, Machine Learning, or related technical field.
Experience with one or more of the following: Natural Language Processing, text understanding, classification, pattern recognition, recommendation systems, targeting systems, ranking systems or similar.
Experience applying Machine Learning to real world problems.","Develop solutions for real world, large scale problems.
Participate in research and development in Machine Learning, Natural Language Processing, or Computer Vision applications.",https://careers.google.com/jobs/results/132829535969125062-software-engineer-machine-learning/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=2&q=software&sort_by=relevance
